id,item,vowel,language,f1_cent,f2_cent,tl,f1_20,f1_35,f1_50,f1_65,f1_80,f2_20,f2_35,f2_50,f2_65,f2_80
,meet,i,en,323.42,2721.05,1394.02,386.49,361.65,352.92,262.39,253.64,2949.27,2918.87,2996.59,2959.64,1780.89
,beat,i,en,259.27,2163.70,1415.81,279.12,264.85,250.52,263.62,238.23,2291.45,2143.22,2411.22,1795.43,2177.16
,feet,i,en,309.74,2257.09,1572.14,350.00,332.92,311.88,294.46,259.44,2665.80,2426.08,2261.65,1676.27,2255.63
,seat,i,en,280.79,1892.68,2003.27,320.15,300.17,277.03,248.58,258.01,2511.06,2381.02,1225.94,1405.38,1940.01
,heat,i,en,287.01,2345.61,2559.64,271.85,324.90,303.93,269.71,264.67,2163.34,2947.31,2390.53,1800.56,2426.29
,fleet,i,en,309.73,2388.27,1551.01,353.70,314.00,275.55,307.27,298.15,2770.48,2891.65,2975.23,1654.70,1649.31
,moss,a,en,652.25,1231.52,729.51,734.05,835.59,665.85,704.70,321.05,1250.15,1232.15,1209.22,1263.39,1202.68
,bot,a,en,834.18,1232.15,470.50,790.56,753.65,882.13,876.50,868.08,1205.18,1225.81,1232.70,1143.51,1353.52
,fought,a,en,785.93,1287.77,620.17,794.63,725.74,733.95,884.83,790.50,1119.85,1147.35,1159.44,1384.95,1627.27
,sought,a,en,697.18,1336.73,479.79,632.32,693.72,745.80,706.51,707.55,1586.26,1454.88,1302.90,1157.87,1181.72
,caught,a,en,715.86,1105.96,350.07,650.44,696.31,733.57,727.93,771.04,1045.21,1036.12,1037.28,1113.06,1298.15
,brought,a,en,806.80,1365.37,784.85,767.71,778.72,764.68,922.29,800.58,1272.39,1426.54,1584.15,1338.13,1205.64
,moot,u,en,301.75,1232.37,514.74,360.27,289.72,271.93,277.79,309.06,1147.29,1201.36,1165.01,1143.32,1504.88
,boot,u,en,358.74,1265.10,534.45,414.72,417.22,385.02,311.36,265.37,1085.42,1111.21,1144.37,1393.76,1590.74
,food,u,en,389.18,1084.85,122.24,407.47,396.81,392.47,388.13,361.03,1122.56,1062.10,1065.98,1065.41,1108.20
,soothe,u,en,397.35,1597.87,266.55,402.80,404.41,402.30,396.29,380.94,1713.95,1568.61,1528.53,1572.42,1605.84
,cooed,u,en,379.04,1174.78,261.47,366.60,389.44,391.06,382.73,365.35,1301.53,1264.33,1112.44,1082.62,1112.96
,dude,u,en,366.84,1729.38,326.50,402.65,395.85,376.21,333.74,325.73,1574.71,1617.90,1700.06,1862.40,1891.83
,mis,i,sp,287.37,1568.81,1223.60,293.59,268.15,278.90,292.93,303.29,848.60,1029.36,1872.83,2053.16,2040.11
,bis,i,sp,275.05,1970.89,2169.74,290.07,276.26,284.76,256.42,267.73,1581.77,1900.22,1437.61,2586.72,2348.15
,pis,i,sp,280.88,2224.34,2092.50,275.95,265.66,272.86,292.88,297.07,1270.94,2645.59,2242.26,2506.22,2456.70
,cito,i,sp,301.80,2219.49,1553.31,327.15,332.50,350.19,237.89,261.28,1957.45,2618.36,2275.45,2333.96,1912.22
,fito,i,sp,338.26,2093.62,1639.06,345.96,376.72,291.14,301.27,376.20,2606.74,2225.28,2322.28,1506.11,1807.70
,quito,i,sp,300.58,1836.65,589.68,341.40,357.64,247.81,248.39,307.63,1742.37,1942.61,1931.64,1906.35,1660.27
,mas,a,sp,600.24,1514.04,946.36,882.39,878.66,675.54,285.32,279.30,1473.03,1600.66,1466.50,1596.86,1433.14
,vas,a,sp,813.93,1513.67,899.78,815.65,860.95,799.01,862.20,731.86,1157.36,1612.09,1685.62,1682.46,1430.81
,pasa,a,sp,810.79,1617.39,531.22,810.84,764.08,783.24,856.88,838.91,1615.39,1616.22,1450.54,1651.22,1753.56
,sala,a,sp,820.15,1683.44,277.24,649.96,764.43,885.29,907.14,893.95,1676.43,1692.61,1682.16,1688.74,1677.24
,fama,a,sp,917.30,1477.12,371.40,950.32,941.09,941.63,919.97,833.50,1565.58,1609.97,1447.02,1374.65,1388.38
,cama,a,sp,830.11,1619.21,1220.77,679.42,772.63,773.31,963.90,961.27,1753.56,1768.24,1236.65,1710.72,1626.88
,musa,u,sp,309.89,1037.30,710.25,351.09,334.01,315.76,291.59,256.99,892.14,906.41,932.05,914.97,1540.94
,bulto,u,sp,392.03,897.76,333.56,405.93,392.79,381.31,385.42,394.73,859.55,843.54,805.71,901.28,1078.71
,puso,u,sp,354.08,1107.52,480.95,422.03,398.98,367.87,295.06,286.45,945.19,970.39,1047.30,1182.14,1392.57
,supo,u,sp,337.08,1295.01,550.58,347.06,375.21,355.59,309.41,298.11,1604.77,1435.76,1200.43,1101.21,1132.90
,fumo,u,sp,388.54,891.33,90.37,392.84,384.25,379.20,378.08,408.33,873.45,906.88,907.37,899.90,869.04
,cura,u,sp,399.23,989.45,305.73,388.95,395.50,391.69,385.71,434.30,947.88,940.65,924.75,935.57,1198.38
